issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
2215-7727,2215-7727,2215-7727,sociologia ciencias sociales c,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social,4,14,1783.67,EUR,1926.36,1.08,5069.37,observado,True
1657-9267,2011-2777,1657-9267,psicologia ciencias sociales b,psychology miscellaneous q4 social universitas psychologica sciences education philosophy religion,4,10,2323.34,EUR,2509.21,1.08,6603.18,observado,True
0124-0781,0719-5338,2590-8669,ciencias politicas sociales c,history q4 political science relations arts humanities social sciences sociology latin america public policy economy general,4,16,2443.03,EUR,2638.47,1.08,6943.34,observado,True
1794-8231,,2462-8794,matematicas aplicadas matematica ciencias naturales c ecomatematico education mathematics,education special aspects science mathematics,9,5,2826.34,EUR,3052.45,1.08,8032.76,observado,True
2027-5846,,2027-5846,otras ingenierias tecnologias ingenieria tecnologia c usbmed,technology engineering biomedical software computer science data general civil,7,9,5176.12,EUR,5590.21,1.08,14711.08,observado,True
0120-7555,0120-7555,2346-206X,economia negocios ciencias sociales c,geography planning development q4 tourism leisure hospitality management business accounting social sciences communication new media marketing public relations strategy branding language literature philology linguistics mass,5,25,1996.61,EUR,2156.34,1.08,5674.58,observado,True
0120-0488,1657-0448,2665-4385,otras ciencias agricolas c,dermatology q4 surgery medicine sociology social sciences antrophology political science general,4,11,2400.0,EUR,2592.0,1.08,6821.05,observado,True
0124-2121,0124-2121,2665-2420,educacion general incluye capacitacion pedagogia ciencias sociales b humanismo education teacher training didactics teaching special aspects theory practice,cultural q3 history philosophy science education q4 gender arts humanities social sciences,18,12,2618.0,EUR,2827.44,1.08,7440.63,observado,True
0123-5362,0123-5362,0123-5362,economia negocios ciencias sociales c rosario,economics econometrics finance miscellaneous q4 social sciences economic theory demography as science,6,12,204.92,EUR,221.31,1.08,582.39,observado,True
0121-8417,2215-4744,2357-4720,historia arqueologia humanidades c sociedad history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q4 political science relations arts humanities social sciences,26,9,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1794-8932,2183-9468,2346-0806,ciencias educacion sociales b,sophia architecture city image art practice photography fine arts visual,4,10,1294.3,EUR,1397.84,1.08,3678.53,observado,True
2346-3775,2346-3775,2346-3775,agricultura silvicultura pesca ciencias agricolas b,agronomy crop science q3 ecology evolution behavior systematics plant agricultural biological sciences,6,12,2784.55,EUR,3007.31,1.08,7913.97,observado,True
1692-0279,2443-9991,2256-4322,economia negocios ciencias sociales b,education innovation teacher training didactics teaching,5,6,1932.16,EUR,2086.73,1.08,5491.39,observado,True
1900-9895,0120-1867,2500-5324,ciencias educacion sociales c,law q3 political science relations q4 social sciences education educational policy latin america justice right to,4,16,1828.24,EUR,1974.5,1.08,5196.05,observado,True
2422-4200,1666-6933,2422-4200,ciencias sociales interdisciplinaria otras c,science engineering technology chemistry information computer general civil,5,8,243.34,EUR,262.81,1.08,691.61,observado,True
0120-4483,2313-979X,2665-1327,economia negocios ciencias sociales b,economic policy social macroeconomics economy financial development sciences theory demography finance history conditions,5,13,1828.49,EUR,1974.77,1.08,5196.76,observado,True
1794-161X,,2389-7864,ciencias biologicas naturales c,,4,0,2784.55,EUR,3007.31,1.08,7913.97,observado,True
0122-8803,0122-8803,2322-6889,historia arqueologia humanidades b caribe history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q3 arts humanities,26,4,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0123-4641,2248-7085,0123-4641,linguistica idiomas literatura humanidades b,,5,0,3306.51,EUR,3571.03,1.08,9397.45,observado,True
1657-6357,2389-9050,2389-9050,ciencias sociales interdisciplinaria otras c sociedad economia,social sciences economics econometrics change sociology issues general,7,8,1996.61,EUR,2156.34,1.08,5674.58,observado,True
0121-7372,1657-0448,2462-991X,otras ciencias medicas salud c,dermatology q4 surgery medicine repertorio medicina cirugia experimental clinical oncology public health general,5,13,1448.6,EUR,1564.49,1.08,4117.08,observado,True
0120-2596,0120-2596,0120-2596,economia negocios ciencias sociales c lecturas,business management accounting miscellaneous q4 economics econometrics finance social sciences sociology political science statistics probability uncertainty decision applied public policy economic thought history conditions theory demography as,6,27,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0120-131X,0120-131X,2389-9980,teologia otras humanidades c,religious q2 arts humanities design technology engineering general civil,4,9,1300.0,EUR,1404.0,1.08,3694.74,observado,True
0120-0011,0120-0011,2357-3848,otras ciencias medicas salud c,medicine miscellaneous q4 natural sciences social health mathematical logic information tecnology agriculture,5,12,1448.6,EUR,1564.49,1.08,4117.08,observado,True
2011-799X,2011-799X,2011-799X,idiomas literatura humanidades a2,linguistics language q2 social sciences,4,5,1828.24,EUR,1974.5,1.08,5196.05,observado,True
1909-0528,1909-0528,1909-0528,derecho ciencias sociales c via inveniendi et iudicandi virtual viei,law q1 social sciences legal history politics political science general,10,10,2676.26,EUR,2890.36,1.08,7606.21,observado,True
0121-4705,2386-8066,0121-4705,ciencias politicas sociales a1,history q2 political science relations q3 sociology arts humanities social sciences,4,11,2258.19,EUR,2438.85,1.08,6418.03,observado,True
2390-0725,2422-3182,2422-3182,negocios management economia ciencias sociales b cea economy econometrics marketing administration accounting finance,social sciences commerce finance,13,4,638.23,EUR,689.29,1.08,1813.92,observado,True
0120-6346,2523-0840,2248-4345,economia negocios ciencias sociales c,macroeconomic microecomomic ecological economics economic development public econometrics social sciences theory demography as science history conditions industries land use labor growth planning,5,22,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0121-215X,2236-4994,2256-5442,otras ciencias sociales b geografia teaching geography environmental cartography anthropology recreation general,,12,0,416.0,EUR,449.28,1.08,1182.32,observado,True
0122-5383,0122-5383,2382-4581,otras ingenierias tecnologias ingenieria tecnologia c,chemical engineering miscellaneous q4 energy fuel technology geology geophysics renewable sustainability environment earth planetary sciences ct f ciencia tecnologia futuro ctyf scientific about technologies technics industry education,6,27,902.03,EUR,974.19,1.08,2563.66,observado,True
0121-1617,0121-1617,1900-6152,historia arqueologia humanidades a1,cultural q1 history social sciences miscellaneous q2 geography planning development q3 arts humanities,4,13,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1657-107X,1853-1326,2500-5421,ciencias educacion sociales b interamericana investigacion pedagogia education teacher training didactics teaching general special aspects theory practice,,17,0,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0120-0135,2447-3383,2256-2273,agronomia agricultura silvicultura pesca ciencias agricolas b,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine ciencia agricola plant protection agriculture family farming forestry fruit growing general culture,7,27,2000.0,EUR,2160.0,1.08,5684.21,observado,True
1692-715X,1692-715X,2027-7679,ciencias sociales interdisciplinaria otras b latinoamericana ninez juventud,social sciences miscellaneous q2 developmental educational psychology q3,8,8,1828.24,EUR,1974.5,1.08,5196.05,observado,True
1794-4724,2007-7149,2145-4515,psicologia ciencias sociales c avances latinoamericana philosophy psychology religion,behavioral sciences clinical psychology occupational educational social psychosocial,9,8,1828.24,EUR,1974.5,1.08,5196.05,observado,True
1856-9536,1856-9536,1856-9536,periodismo comunicaciones ciencias sociales c,communication q3 library information sciences social anuario electronico estudios comunicacion disertarciones disertaciones journalism media cultural,5,15,300.05,EUR,324.05,1.08,852.76,observado,True
2011-3080,2007-7149,2011-3080,psicologia ciencias sociales c ces philosophy psychology religion,psychology miscellaneous q4 behavioral sciences clinical occupational educational social psychosocial,8,10,532.0,EUR,574.56,1.08,1512.0,observado,True
1794-0915,2336-3037,1794-0915,ciencias biologicas naturales c,animal science zoology q3 ecology evolution behavior systematics agricultural biological sciences ornitologia colombiana logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,4,26,150.0,EUR,162.0,1.08,426.32,declarado,True
0121-0319,2960-8309,1794-5240,otras ciencias medicas salud c,,5,0,5176.12,EUR,5590.21,1.08,14711.08,observado,True
0034-7434,0717-7526,2463-0225,medicina clinica ciencias medicas salud c,neurology clinical q4 medicine ginecology obstetrics women s health reproduction reproductive,6,11,350.0,USD,350.0,1.0,921.05,declarado,True
0121-4772,0121-4772,2248-4337,economia negocios ciencias sociales b colombia,arts humanities miscellaneous q3 economics econometrics finance q4 social sciences real estate markets economic theory demography as science,6,18,2908.3,EUR,3140.96,1.08,8265.68,observado,True
0123-3068,2215-4744,2462-8190,ciencias biologicas naturales a2 cientifico museo historia natural history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,,29,0,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0120-5633,0120-5633,2357-3260,ciencias salud medicas c,cardiology cardiovascular medicine q4 colombiana cardiologia logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,4,19,150.0,EUR,162.0,1.08,426.32,declarado,True
0124-8170,2215-2652,1909-7735,otras ingenierias tecnologias ingenieria tecnologia b,technology engineering general civil,6,4,1806.0,EUR,1950.48,1.08,5132.84,observado,True
0121-4004,0121-4004,2145-2660,farmacologia farmacia medicina basica ciencias medicas salud b,pharmacology toxicology pharmaceutics miscellaneous q3 applied microbiology biotechnology q4 food science agricultural biological sciences immunology,8,15,1176.26,EUR,1270.36,1.08,3343.05,observado,True
0120-0690,0120-0690,2256-2958,ciencias veterinarias agricolas b colombiana pecuarias,animal science zoology q4 veterinary miscellaneous agricultural biological sciences,6,9,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0123-9392,0123-9392,2422-3794,otras ciencias medicas salud c,infectious diseases q4 microbiology medical pharmacology medicine infectio infection clinical practice epidemiology internal parasitic public aspects,5,16,2675.07,EUR,2889.08,1.08,7602.84,observado,True
0123-5931,2215-4744,2256-5450,estudios literarios idiomas literatura humanidades b teoria historia critica history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,,30,0,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1657-0308,2518-2943,2357-626X,arquitectura urbanismo arte humanidades b,,5,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0120-5323,1698-7950,2346-2426,otras humanidades c universitas philosophica filosofia derecho politica,philosophy q4 arts humanities political law human rights science gender politics general comparative uniform jurisprudence public psychology religion,8,18,2255.17,EUR,2435.58,1.08,6409.42,observado,True
2027-4688,2027-4688,2539-4711,historia arqueologia humanidades b fronteras history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q1 arts humanities,26,4,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0120-548X,2705-3822,1900-1649,ciencias biologicas naturales b,neurology clinical q4 medicine biologica colombiana biological biotechnology cell molecular biology medical sciences science general,4,15,2206.05,EUR,2382.53,1.08,6269.82,observado,True
1794-6670,2961-5666,2215-9959,otras artes arte humanidades a2,musica artes visuales escenicas jrm music culture oral traditions performance books language literature general performing arts show business,5,18,3170.0,EUR,3423.6,1.08,9009.47,observado,True
0120-2456,2215-4744,2256-5647,historia arqueologia humanidades a2 history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,anuario colombiano historia social,25,4,1116.0,EUR,1205.28,1.08,3171.79,observado,True
2248-6046,,2011-7663,economia negocios ciencias sociales c,management economics education accounting social sciences economic theory demography as science,5,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
1692-8261,1996-5389,2216-1368,otras ingenierias tecnologias ingenieria tecnologia b prospectiva oficial universidad privada antonio guillermo urrelo,social sciences law economics education management general,13,7,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0121-5256,0123-2576,1909-7700,medicina clinica ciencias medicas salud c,education q4 medical laboratory technology medicine miscellaneous health professions social sciences med biomedical science human translational clinical practice,6,18,1569.89,EUR,1695.48,1.08,4461.79,observado,True
1692-7273,1692-7273,2145-4507,medicina clinica ciencias medicas salud c,health policy q4 social science medicine miscellaneous sciences microbiology physiotherapy pharmacy nutrition,6,12,2000.0,EUR,2160.0,1.08,5684.21,observado,True
2011-0324,2251-8665,2665-4814,ciencias sociales interdisciplinaria otras b,cs discrete mathematics combinatorics graph theory computer science,5,8,990.0,EUR,1069.2,1.08,2813.68,observado,True
1657-4915,2215-3659,2389-7856,ciencias educacion sociales c praxis philosophy bioethics latin american thinking psychology religion speculative general,,14,0,2380.0,EUR,2570.4,1.08,6764.21,observado,True
0120-0534,2007-7149,0120-0534,psicologia ciencias sociales a2 latinoamericana philosophy psychology religion,psychology miscellaneous q2 social sciences behavioral clinical occupational educational psychosocial,8,10,1828.24,EUR,1974.5,1.08,5196.05,observado,True
1794-9920,,1794-9920,economia negocios ciencias sociales c face facultad economicas u pamplona,management economics education accounting social sciences economic theory demography as science,10,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0123-4226,0123-4226,2619-2551,otras ciencias agricolas b cientifica facultad veterinarias universidad zulia,agricultural biological sciences miscellaneous q4 biochemistry genetics molecular biology environmental science geography planning development social veterinary medicine animal economics public health food technology,9,23,895.15,EUR,966.76,1.08,2544.11,observado,True
1657-4702,1991-2773,2462-859X,otras humanidades b,,3,0,2492.33,EUR,2691.72,1.08,7083.47,observado,True
2382-4018,2382-4018,2382-4018,otras humanidades c collectivus ciencias sociales,practics social practices territorial economical sciences general,6,7,2000.0,EUR,2160.0,1.08,5684.21,observado,True
2322-9381,2322-9381,2322-9675,historia arqueologia humanidades a2,history q2 social sciences miscellaneous q3 arts humanities trashumante public health medicine general,4,13,2618.0,EUR,2827.44,1.08,7440.63,observado,True
0124-2253,2521-9715,2344-8350,otras ingenierias tecnologias ingenieria tecnologia b cientifica facultad ciencias veterinarias universidad zulia,veterinary medicine animal science agricultural economics public health food technology,12,10,895.15,EUR,966.76,1.08,2544.11,observado,True
0034-7426,1657-0448,2357-4100,matematica ciencias naturales c,dermatology q4 surgery medicine social science sociology anthropology political demography general sciences,4,12,2331.51,EUR,2518.03,1.08,6626.39,observado,True
0120-5587,0717-621X,0120-5587,estudios generales lenguaje idiomas literatura humanidades c,,7,0,2380.0,EUR,2570.4,1.08,6764.21,observado,True
0121-053X,0121-053X,2346-1829,linguistica idiomas literatura humanidades b,linguistics language q2 social sciences linguistica hispanica modern romance languages slavic germanic literature philology,5,14,1898.13,EUR,2049.98,1.08,5394.68,observado,True
1794-2470,2715-9256,2462-9448,ciencias biologicas naturales b nova publicacion cientifica medicas publica jurnal pemikiran administrasi negara,public administration policy bureaucracy service governance local government political science institutions asia asian only,13,14,2900.0,EUR,3132.0,1.08,8242.11,observado,True
0120-159X,1657-0448,2256-5485,sociologia ciencias sociales b,dermatology q4 surgery medicine social sciences epistemology chilhood gender child abuse sociology general,4,13,2505.83,EUR,2706.3,1.08,7121.84,observado,True
2027-2448,2745-1402,2745-1402,otras ciencias sociales c,law jurisprudence politics philosophy sociology social sciences general,4,8,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0122-9354,2675-6617,2389-8526,ciencias veterinarias agricolas c,,4,0,380.8,EUR,411.26,1.08,1082.26,observado,True
0122-8900,2471-6839,2463-0470,economia negocios ciencias sociales c,panorama economico twentieth century art nineteenth african american contemporary modernism critical theory fine arts general history,5,16,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0123-3769,1996-5389,2500-8684,otras ciencias sociales c perspectiva geografica oficial universidad privada antonio guillermo urrelo,social sciences law economics education management general,12,7,2838.0,EUR,3065.04,1.08,8065.89,observado,True
1909-941X,2660-9037,2389-7848,economia negocios ciencias sociales c clio historia humanas pensamiento critico,history literature social sciences humanities geography anthropology recreation auxiliary,10,9,2200.0,EUR,2376.0,1.08,6252.63,observado,True
0120-0062,1984-9834,2011-3668,filosofia otras humanidades b,social sciences rural sociology antropology economy development agrarian change,4,9,2709.03,EUR,2925.75,1.08,7699.34,observado,True
2145-132X,2145-132X,2145-132X,historia arqueologia humanidades a2,cultural q2 history pharmacology toxicology pharmaceutics miscellaneous q3 social sciences arts humanities,4,12,1878.22,EUR,2028.48,1.08,5338.11,observado,True
1657-7027,1657-7027,2500-6177,salud publica ciencias medicas c gerencia politicas,health policy q4 medicine political science relations sociology latin america public economy general,7,13,2443.03,EUR,2638.47,1.08,6943.34,observado,True
0120-2812,0120-2812,2323-0118,ciencias tierra medioambientales naturales b,agronomy crop science q4 soil agricultural biological sciences,5,8,450.0,BRL,90.0,0.2,236.84,declarado,True
1692-2530,1406-5509,2248-4078,derecho ciencias sociales c,law q4 social sciences opinion juridica penal code civil estonian fundamental personal rights european europe,4,15,3345.32,EUR,3612.95,1.08,9507.76,observado,True
0120-3886,0120-1867,2390-0016,derecho ciencias sociales c facultad politicas universidad catolica santisima concepcion,law q3 political science relations q4 social sciences legal jurisprudence history public private,10,13,2443.03,EUR,2638.47,1.08,6943.34,observado,True
0123-3475,1657-0448,1909-8758,biotecnologia agricola ciencias agricolas b,dermatology q4 surgery medicine colombiana biotecnologia artificial intelligence practical innovative uses iot networks smart objects cyber physical systems augmented reality virtual enabled devices science mathematics instruments machines electronic computers computer software technology general cybernetics,5,34,837.19,EUR,904.17,1.08,2379.39,observado,True
0121-3784,2166-5095,0121-3784,ciencias animales lecheria agricolas b,animal science zoology q4 agricultural biological sciences livestock rural development sustainability community gender equality social industries land use labor economic growth planning communities classes races human settlements,5,27,2930.53,EUR,3164.97,1.08,8328.87,observado,True
0121-4381,0121-4381,2145-9797,psicologia ciencias sociales b,psychology miscellaneous q3 suma psicologica spanish society experimental animal cognition perception attention psycholinguistics human methodology language literature philology linguistics philosophy religion consciousness,4,22,1005.27,EUR,1085.69,1.08,2857.08,observado,True
0122-1213,1996-5389,2389-993X,trabajo social sociologia ciencias sociales c prospectiva oficial universidad privada antonio guillermo urrelo,social sciences law economics education management general,13,7,2838.0,EUR,3065.04,1.08,8065.89,observado,True
1794-6190,1777-5817,2339-3459,ciencias tierra medioambientales naturales c,earth sciences societe geologique france paleontology geochemistry stratigraphy geophysics tectonics geodynamics science geology,5,13,2400.0,EUR,2592.0,1.08,6821.05,observado,True
0124-0579,0120-1867,2145-4531,derecho ciencias sociales c,law q3 political science relations q4 social sciences,4,8,1618.67,EUR,1748.16,1.08,4600.42,observado,True
0121-3814,2602-408X,2323-0126,educacion general incluye capacitacion pedagogia ciencias sociales b,tea tecne episteme didaxis islamic culture archaeology history art turkish literature music fine arts general,8,15,2972.0,EUR,3209.76,1.08,8446.74,observado,True
0122-7483,0122-7483,2027-1352,matematica ciencias naturales b,multidisciplinary q3 universitas scientiarum sciences technology medicine engineering materials physics science,4,11,1139.73,EUR,1230.91,1.08,3239.24,observado,True
2145-6054,2256-2796,2256-2796,derecho ciencias sociales c juridica mario alario d filippo,legal systems institutions general theory law social security labor criminal comparative uniform jurisprudence,9,13,1303.34,EUR,1407.61,1.08,3704.24,observado,True
0120-4807,2011-2734,0120-4807,sociologia ciencias sociales b,geography anthropology recreation social sciences sociology general,4,7,2618.0,EUR,2827.44,1.08,7440.63,observado,True
0012-7353,2183-1912,2346-2183,otras ingenierias tecnologias ingenieria tecnologia c,dyna innovation social sciences well being tourism sustainability general,6,9,1657.98,EUR,1790.62,1.08,4712.16,observado,True
0120-4157,2710-3471,2590-7379,otras ciencias medicas salud b,biomedica medicine endocrinology public health radiology pediatrics science biology general,5,10,1549.04,EUR,1672.96,1.08,4402.53,observado,True
0120-386X,0120-386X,2256-3334,ciencias salud medicas b facultad nacional publica jurnal pemikiran administrasi negara,epidemiology q4 health information management policy public environmental occupational professions medicine administration bureaucracy service governance local government political science institutions asia asian only,11,23,2390.0,EUR,2581.2,1.08,6792.63,observado,True
0120-0739,2065-2445,2256-201X,forestal agricultura silvicultura pesca ciencias agricolas b,colombia forestal forestry silviculture environmental sciences agriculture,7,7,1999.2,EUR,2159.14,1.08,5681.95,observado,True
2011-0731,2011-0731,2011-0731,ciencias educacion sociales c,,4,0,2331.51,EUR,2518.03,1.08,6626.39,observado,True
2027-5137,2215-4744,2322-777X,historia arqueologia humanidades a2 memoria history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q4 political science relations arts humanities social sciences,26,9,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0124-5821,0124-5821,0124-5821,ciencias sociales interdisciplinaria otras b virtual universidad catolica norte,social sciences education humanities general,9,5,3068.0,EUR,3313.44,1.08,8719.58,observado,True
1900-5016,1991-2773,2248-6011,economia negocios ciencias sociales c,,5,0,1828.24,EUR,1974.5,1.08,5196.05,observado,True
1900-6586,2521-9715,2500-7645,ciencias sociales interdisciplinaria otras b cientifica facultad veterinarias universidad zulia,veterinary medicine animal science agricultural economics public health food technology,10,10,895.15,EUR,966.76,1.08,2544.11,observado,True
2590-9215,2590-9215,2590-9215,ciencias sociales interdisciplinaria otras c perspectivas,education social sciences pedagogy general,6,5,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0122-8102,2684-0499,2346-1691,idiomas literatura humanidades c,,4,0,2628.61,EUR,2838.9,1.08,7470.79,observado,True
0120-3347,2256-2087,2145-4604,anestesiologia medicina clinica ciencias medicas salud c,anesthesiology pain medicine q4 critical care intensive colombiana anestesiologia logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,7,22,150.0,EUR,162.0,1.08,426.32,declarado,True
1900-4699,2797-0965,2500-5316,ciencias biologicas naturales c facultad basicas,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine basica primary education elementary learning strategies islamic special aspects,6,24,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0124-6542,0124-6542,2389-7732,arquitectura urbanismo arte humanidades b,visual arts performing q2 humanities miscellaneous q3 architecture q4 urban engineering social sciences,5,13,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0120-4874,0123-2576,2357-6308,medicina general interna clinica ciencias medicas salud c,education q4 medical laboratory technology medicine miscellaneous health professions social sciences clinical nursing adult children s women,8,17,1448.6,EUR,1564.49,1.08,4117.08,observado,True
1657-9534,0120-8322,1657-9534,medicina clinica ciencias medicas salud b colombia medica education training educational special aspects theory practice,medicine miscellaneous q4,15,3,300.0,EUR,324.0,1.08,852.63,observado,True
2216-0159,2462-8603,2462-8603,ciencias educacion sociales b,,4,0,2380.0,EUR,2570.4,1.08,6764.21,observado,True
2215-8944,2145-4493,2215-8944,derecho ciencias sociales b academia universidad catolica santisima concepcion,law q4 social sciences legal jurisprudence history public private,9,9,2331.51,EUR,2518.03,1.08,6626.39,observado,True
1900-9178,1850-2067,1900-9178,ingenieria ambiental tecnologia c,crop science soil plant nutrition environmental sustainable agriculture,4,8,60.0,USD,60.0,1.0,157.89,declarado,True
0123-4986,1988-8295,2256-5493,trabajo social sociologia ciencias sociales c,trabajo social work services intervention politics sciences history conditions problems reform general,6,12,267.75,EUR,289.17,1.08,760.97,observado,True
0122-2066,2469-0732,2145-8499,historia arqueologia humanidades c anuario regional fronteras history didactics general europe america latin spanish,,14,0,1878.22,EUR,2028.48,1.08,5338.11,observado,True
2011-4532,,2463-1469,sociologia ciencias sociales c,,4,0,1702.2,EUR,1838.38,1.08,4837.84,observado,True
0124-7913,0718-3607,2027-145X,arquitectura urbanismo arte humanidades a2,fine arts architecture social sciences communities classes races urban groups city sociology,5,12,661.3,EUR,714.2,1.08,1879.47,observado,True
0120-8454,2386-8066,2145-9169,otras humanidades b,,3,0,2258.19,EUR,2438.85,1.08,6418.03,observado,True
1012-8255,0719-6318,1012-8255,otras humanidades c academia latinoamericana administracion,philosophy social sciences humanities general works history scholarship learning,6,9,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0121-8123,1657-0448,2027-9000,reumatologia medicina clinica ciencias medicas salud c,dermatology q4 surgery medicine colombiana reumatologia logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,7,19,150.0,EUR,162.0,1.08,426.32,declarado,True
2215-9177,0123-2576,2215-9177,medicina clinica ciencias medicas salud c,education q4 medical laboratory technology medicine miscellaneous health professions social sciences ces medicina experimental clinical surgery oncology public general,6,19,1448.6,EUR,1564.49,1.08,4117.08,observado,True
1794-6638,2447-3855,2619-4066,derecho ciencias sociales c,rights human social justice law,4,5,1410.32,EUR,1523.15,1.08,4008.29,observado,True
0122-7238,2386-3846,2256-5248,otras humanidades b,,3,0,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0120-0976,0120-0976,2538-9866,otras ciencias sociales c,library information sciences q3 social,4,5,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0120-3932,,2382-3860,negocios management economia ciencias sociales c,management economics education accounting social sciences economic theory demography as science,6,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0121-6805,,1909-7719,economia negocios ciencias sociales b facultad economicas investigacion reflexion,management economics education accounting social sciences economic theory demography as science,9,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0120-2448,1657-0448,2248-6054,otras ciencias medicas salud c,dermatology q4 surgery medicine medica colombiana biomedical science human health translational clinical practice,5,13,300.0,EUR,324.0,1.08,852.63,observado,True
0120-100X,0123-5095,2145-8480,ingenieria quimica tecnologia c,philosophy q3 arts humanities ion multicultural education educational equity cross cultural theory practice,4,13,405.79,EUR,438.25,1.08,1153.29,observado,True
2011-2173,2011-2173,2422-3719,otras ciencias agricolas b colombiana horticolas,agricultural biological sciences miscellaneous q4 biochemistry genetics molecular biology horticulture,6,10,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0120-0283,0120-0283,2145-8553,ciencias tierra medioambientales naturales b,earth planetary sciences miscellaneous q4 geologia geochemistry geohazards geological mapping stratigraphy palaeontology mineralogy science geology,5,15,300.0,EUR,324.0,1.08,852.63,observado,True
1900-2386,2624-8611,1900-2386,psicologia incluye relaciones hombre maquina ciencias sociales b,psychologia avances disciplina cognitive psychology educational social developmental clinical psychometrics measurement philosophy religion,8,13,1159.0,EUR,1251.72,1.08,3294.0,observado,True
0120-8462,2500-5375,2500-5375,otras humanidades c,,3,0,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0120-789X,2673-4397,2027-0119,urologia nefrologia medicina clinica ciencias medicas salud c,neurology clinical q4 medicine urologia colombiana oncology translational endourology female urology neurourology lithiasis internal specialties diseases genitourinary system,8,18,1000.0,CHF,1130.0,1.13,2973.68,declarado,True
0120-4211,2797-0965,0120-4211,ciencias quimicas naturales c bistua facultad basicas,basica primary education elementary learning strategies islamic special aspects,7,9,2000.0,EUR,2160.0,1.08,5684.21,observado,True
2539-3804,2539-3804,2539-3804,idiomas literatura humanidades c,language sciences linguistics teaching,4,4,1348.15,EUR,1456.0,1.08,3831.58,observado,True
1794-9998,2007-7149,2256-3067,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales b diversitas perspectivas philosophy psychology religion,behavioral sciences clinical psychology occupational educational social psychosocial,18,8,242.0,EUR,261.36,1.08,687.79,observado,True
2011-7922,2011-2084,2011-7922,psicologia ciencias sociales b,psychology miscellaneous q3 psychological neuroscience behaviour psychiatry neurology mental health philosophy religion,4,12,2640.0,EUR,2851.2,1.08,7503.16,observado,True
2145-4426,2453-675X,2145-7778,ciencias sociales interdisciplinaria otras c,trilogia ciencia tecnologia sociedad scientific about technologies technology technics industry education,5,11,315.0,EUR,340.2,1.08,895.26,declarado,True
0121-5051,0121-5051,0121-5051,economia negocios ciencias sociales b innovar administrativas,accounting q4 marketing public administration sociology political science strategy management business social sciences finance organization commerce,7,16,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0121-5612,0121-5612,1900-6004,ciencias politicas sociales a1,history q1 political science relations q3 sociology arts humanities social sciences right human rights environment,4,15,2140.37,EUR,2311.6,1.08,6083.16,observado,True
